ID	Treatment	OTU1	OTU10	OTU106	OTU107	OTU11	OTU116	OTU12	OTU13	OTU135	OTU14	OTU140	OTU15	OTU151	OTU16	OTU161	OTU169	OTU17	OTU18	OTU19	OTU2	OTU20	OTU207	OTU21	OTU22	OTU224	OTU23	OTU24	OTU25	OTU26	OTU27	OTU28	OTU284	OTU29	OTU3	OTU30	OTU31	OTU32	OTU33	OTU34	OTU35	OTU36	OTU37	OTU38	OTU39	OTU4	OTU40	OTU401	OTU41	OTU42	OTU43	OTU432	OTU44	OTU45	OTU46	OTU47	OTU48	OTU49	OTU5	OTU50	OTU51	OTU52	OTU53	OTU54	OTU55	OTU552	OTU56	OTU57	OTU58	OTU59	OTU6	OTU60	OTU61	OTU62	OTU63	OTU64	OTU65	OTU66	OTU67	OTU68	OTU69	OTU7	OTU70	OTU71	OTU711	OTU72	OTU73	OTU74	OTU75	OTU76	OTU77	OTU79	OTU8	OTU80	OTU82	OTU83	OTU85	OTU9	OTU92	OTU98	OTU99
F1	AX	6.293291757	5.503582663	2.654606185	4.335990802	5.575413928	2.716931649	1.93209311	5.274416544	-0.687291454	5.250724367	-0.687291454	3.362119136	-0.687291454	-0.687291454	1.790010596	3.707157701	4.834533034	-0.687291454	5.575413928	6.675065358	3.226548082	4.046511784	2.440266212	5.450042827	4.248489669	4.569730321	2.933406488	3.963199682	2.357230984	3.069671367	4.490910614	5.089797806	1.790010596	5.998569493	2.167086701	4.138108953	2.167086701	5.106553295	1.790010596	4.359646547	3.909663259	-0.687291454	-0.687291454	3.751072551	6.835698603	4.030395399	1.624343475	4.521200663	-0.687291454	3.026280613	-0.687291454	4.863198558	-0.687291454	1.17749315	2.58813654	2.716931649	3.226548082	6.036431715	-0.687291454	5.07275678	3.853097757	-0.687291454	-0.687291454	6.52198156	-0.687291454	-0.687291454	4.759053991	-0.687291454	1.42567278	-0.687291454	4.093358757	4.642788815	-0.687291454	-0.687291454	1.790010596	4.560210973	-0.687291454	-0.687291454	3.751072551	2.831015336	6.363461633	4.827236395	-0.687291454	-0.687291454	-0.687291454	-0.687291454	-0.687291454	2.167086701	1.790010596	-0.687291454	-0.687291454	4.046511784	-0.687291454	2.716931649	4.606926613	3.927829063	1.42567278	4.235340236	-0.687291454	4.108499092
F4	AX	7.076549588	-0.711624279	3.789194983	3.305577408	5.701983699	3.921337925	6.620269161	4.726850209	3.956093812	4.920238969	2.859188008	-0.711624279	4.358422781	6.160126926	1.401339955	3.16524247	5.001508287	-0.711624279	-0.711624279	5.522964684	2.032144005	5.08774382	5.486669646	5.413854499	-0.711624279	5.343881507	5.373289213	6.022967381	2.956588539	3.973029018	6.035855542	-0.711624279	4.765599729	-0.711624279	3.747994511	3.789194983	-0.711624279	-0.711624279	-0.711624279	-0.711624279	5.36914069	3.126850039	-0.711624279	4.435341517	-0.711624279	3.563778416	3.789194983	-0.711624279	-0.711624279	4.913705133	-0.711624279	-0.711624279	3.903496238	1.765677772	3.086924576	-0.711624279	-0.711624279	1.401339955	3.828764932	3.828764932	4.053652839	-0.711624279	4.496867838	-0.711624279	-0.711624279	-0.711624279	3.399249585	6.514981347	4.795553298	-0.711624279	-0.711624279	1.60001065	-0.711624279	4.12825864	2.563803716	-0.711624279	-0.711624279	-0.711624279	-0.711624279	3.588748503	6.383816931	3.538168822	-0.711624279	-0.711624279	-0.711624279	-0.711624279	-0.711624279	-0.711624279	2.242338582	-0.711624279	-0.711624279	5.245389977	-0.711624279	-0.711624279	3.428620272	4.069025932	5.530068248	2.242338582	-0.711624279	2.692598824
F9	AX	4.742781574	4.727101127	-0.711373361	5.731600991	4.926981309	3.002198706	5.662721803	5.339859827	1.153411244	5.410122142	1.600261568	5.779626036	-0.711373361	-0.711373361	3.369241009	3.045589461	5.09895075	4.803154488	5.765738853	5.985773114	3.369241009	2.416184306	1.76592869	5.318218645	-0.711373361	1.600261568	4.06927685	3.660373343	2.416184306	2.2425895	4.573674537	5.468266787	5.231426015	6.106158778	2.956839457	4.678528245	-0.711373361	-0.711373361	5.318218645	4.887385242	4.832026938	3.939117775	-0.711373361	4.742781574	6.491152445	4.414212679	1.908011203	4.939839088	-0.711373361	-0.711373361	2.2425895	5.385883427	4.347185922	-0.711373361	1.76592869	4.358673699	5.385883427	5.287111938	-0.711373361	5.731600991	3.53841974	-0.711373361	1.908011203	4.27534175	1.401590873	-0.711373361	5.11516294	5.187527232	4.335564641	-0.711373361	3.637143495	4.971278332	-0.711373361	2.564054634	3.885581352	2.143004795	-0.711373361	-0.711373361	4.618706909	2.143004795	4.989678116	-0.711373361	-0.711373361	-0.711373361	3.637143495	-0.711373361	-0.711373361	4.414212679	3.885581352	-0.711373361	-0.711373361	4.839116652	-0.711373361	3.272547384	5.167380492	2.692849742	5.884282953	-0.711373361	-0.711373361	-0.711373361
F11	AX	2.073989542	-0.669778742	3.279715195	-0.669778742	4.304444014	4.155621665	6.013809735	5.167421483	2.9509192	3.498998415	2.457778925	-0.669778742	-0.669778742	5.162103736	3.08718408	-0.669778742	5.151382647	6.049563739	-0.669778742	7.204994949	5.737851038	3.441095123	5.328706557	4.455807298	3.945341775	3.908674056	5.112926933	4.844749107	-0.669778742	3.347422945	4.64253118	5.5859713	-0.669778742	6.253402399	4.901683728	4.596672618	-0.669778742	-0.669778742	4.466554312	-0.669778742	5.172711101	3.87061047	-0.669778742	3.963183462	3.08718408	4.095498376	2.534444806	5.310486968	7.285327429	-0.669778742	-0.669778742	3.65495578	3.08718408	3.927175971	3.980712394	4.711792953	1.641856187	5.749771907	4.558408744	4.807445267	4.079885257	-0.669778742	5.291929256	3.08718408	-0.669778742	-0.669778742	2.184599414	4.894741666	3.470465809	5.653439133	3.207088007	3.63059404	-0.669778742	-0.669778742	1.641856187	3.279715195	2.457778925	-0.669778742	3.314142003	2.605649253	4.901683728	-0.669778742	-0.669778742	-0.669778742	-0.669778742	3.207088007	-0.669778742	3.128770113	-0.669778742	-0.669778742	-0.669778742	5.610106242	5.078745309	3.279715195	2.605649253	1.443185492	5.568368311	-0.669778742	-0.669778742	3.83104052
F23	AX	-0.483015907	7.206188763	3.888730797	5.060384391	3.597598463	3.46647803	6.511000468	5.654318374	5.488013995	-0.483015907	5.060384391	-0.483015907	-0.483015907	-0.483015907	4.250787331	-0.483015907	5.046052365	-0.483015907	-0.483015907	6.332524397	5.338145481	3.566394683	6.19372401	4.266648092	4.598388458	-0.483015907	5.593583257	2.260752377	4.754875682	3.137682035	4.971139028	6.431173176	-0.483015907	5.02416167	5.271286836	4.898555788	-0.483015907	-0.483015907	-0.483015907	-0.483015907	4.452765216	5.740822191	-0.483015907	5.0815045	4.754875682	4.076586191	1.629948327	5.108988195	-0.483015907	-0.483015907	-0.483015907	-0.483015907	2.858881733	-0.483015907	-0.483015907	5.606028969	1.381768697	-0.483015907	-0.483015907	-0.483015907	4.266648092	4.774005868	-0.483015907	-0.483015907	-0.483015907	5.572489879	-0.483015907	-0.483015907	5.211939848	-0.483015907	-0.483015907	4.491206849	7.082306477	5.991295576	3.08779638	5.524456197	-0.483015907	-0.483015907	-0.483015907	-0.483015907	3.933631718	3.766777194	-0.483015907	-0.483015907	-0.483015907	-0.483015907	-0.483015907	-0.483015907	-0.483015907	-0.483015907	-0.483015907	5.748002261	-0.483015907	4.76448652	-0.483015907	-0.483015907	1.828619022	-0.483015907	5.497249803	3.18519691
F29	AX	7.179743069	-0.627840911	3.852590285	-0.627840911	-0.627840911	-0.627840911	5.648631682	-0.627840911	4.693393657	-0.627840911	-0.627840911	-0.627840911	-0.627840911	-0.627840911	2.226537245	3.249025838	-0.627840911	-0.627840911	-0.627840911	-0.627840911	-0.627840911	-0.627840911	-0.627840911	6.215230382	6.095882258	5.505557132	4.137436207	5.485640123	5.849271303	4.508492143	-0.627840911	5.440374218	4.619661516	-0.627840911	4.508492143	6.203524073	-0.627840911	-0.627840911	5.431919295	-0.627840911	5.204041567	4.254272069	-0.627840911	5.532790871	-0.627840911	-0.627840911	5.204041567	-0.627840911	-0.627840911	-0.627840911	-0.627840911	-0.627840911	-0.627840911	4.281466131	4.886686938	-0.627840911	-0.627840911	5.513414175	5.12068314	3.595669468	-0.627840911	-0.627840911	5.528945452	-0.627840911	-0.627840911	-0.627840911	2.115927373	5.444575022	3.51240364	-0.627840911	-0.627840911	-0.627840911	-0.627840911	-0.627840911	4.294790779	-0.627840911	-0.627840911	-0.627840911	-0.627840911	-0.627840911	5.952798227	-0.627840911	-0.627840911	-0.627840911	-0.627840911	4.056812386	-0.627840911	-0.627840911	-0.627840911	-0.627840911	-0.627840911	4.540057099	-0.627840911	-0.627840911	5.352424799	-0.627840911	5.46531835	-0.627840911	3.285998626	4.943621559
F33	AX	-0.702371921	-0.702371921	4.379032444	-0.702371921	6.472700372	-0.702371921	1.774930129	4.687529684	-0.702371921	-0.702371921	-0.702371921	-0.702371921	-0.702371921	-0.702371921	-0.702371921	2.342150517	3.646144935	-0.702371921	-0.702371921	4.609938	4.137510998	5.499611364	4.486029113	5.166154279	-0.702371921	6.291644453	5.129510556	3.894582792	-0.702371921	3.83801729	-0.702371921	5.570676597	4.653785445	7.108165071	5.407077661	5.990275615	-0.702371921	-0.702371921	4.093418624	-0.702371921	5.171281181	-0.702371921	-0.702371921	6.481015852	6.855385773	4.165861586	4.271850834	3.96534617	-0.702371921	-0.702371921	-0.702371921	-0.702371921	-0.702371921	2.501851627	-0.702371921	2.152006234	3.669374783	1.917012643	5.788627475	3.314829765	4.320910335	-0.702371921	5.344570335	3.0545909	-0.702371921	-0.702371921	4.525815564	-0.702371921	4.516016368	-0.702371921	3.211467615	3.136102396	-0.702371921	4.935982748	2.152006234	3.622362601	5.191529911	3.011200146	2.425185745	3.174494827	5.91782249	1.774930129	-0.702371921	-0.702371921	1.774930129	5.0859188	-0.702371921	-0.702371921	-0.702371921	-0.702371921	-0.702371921	2.152006234	-0.702371921	-0.702371921	3.735992083	4.412350351	-0.702371921	-0.702371921	-0.702371921	4.047292077
F42	AX	-0.775741684	-0.775741684	-0.775741684	6.60150573	4.888165318	2.268780754	5.715257713	4.949327759	2.268780754	-0.775741684	2.351815983	6.03979862	-0.775741684	-0.775741684	4.034963381	3.33513218	5.82980224	6.043778329	-0.775741684	5.921404791	4.327997501	1.701560367	5.32559591	5.087631194	5.138006992	5.82980224	3.989535434	4.092491823	-0.775741684	3.725077578	4.327997501	4.527563224	4.442646605	5.747820622	5.176556694	4.078416995	5.050794617	-0.775741684	3.640905941	4.160039439	3.173752253	3.958061554	-0.775741684	5.531031157	5.333707899	3.393035473	1.84364288	4.259438392	-0.775741684	-0.775741684	4.146890006	4.701482325	4.034963381	-0.775741684	3.33513218	4.338980588	5.103012169	5.560440236	3.304872686	3.393035473	4.500051173	-0.775741684	1.089042921	5.950164654	-0.775741684	-0.775741684	3.524631098	2.428481864	4.092491823	-0.775741684	4.422755348	4.338980588	-0.775741684	-0.775741684	2.566155956	1.84364288	-0.775741684	-0.775741684	4.527563224	2.566155956	5.585874766	3.101125065	-0.775741684	1.33722255	-0.775741684	-0.775741684	-0.775741684	3.572775172	4.442646605	3.839378833	-0.775741684	4.906910009	-0.775741684	3.393035473	3.572775172	4.349844356	5.30085748	4.020048862	-0.775741684	3.764647528
F44	AX	-0.563847857	7.410215628	4.216802354	-0.563847857	4.410374899	-0.563847857	6.782221002	5.652758244	-0.563847857	-0.563847857	-0.563847857	-0.563847857	-0.563847857	-0.563847857	4.593638814	-0.563847857	3.956952089	-0.563847857	-0.563847857	6.44012628	3.685945244	4.30438565	5.870406776	4.73037021	-0.563847857	5.84976012	5.034910746	3.234700998	3.916583339	1.747787072	-0.563847857	4.471332219	5.456954815	-0.563847857	6.315414415	3.349991679	-0.563847857	-0.563847857	3.38564608	-0.563847857	4.358783833	5.257313531	5.452531008	3.760886665	6.357541329	-0.563847857	2.711580137	-0.563847857	-0.563847857	4.986642155	-0.563847857	-0.563847857	-0.563847857	2.840375246	-0.563847857	1.300936747	5.521065635	-0.563847857	3.685945244	1.300936747	4.809323956	-0.563847857	-0.563847857	-0.563847857	6.687561599	-0.563847857	1.300936747	-0.563847857	3.349991679	-0.563847857	-0.563847857	-0.563847857	-0.563847857	-0.563847857	1.300936747	4.979552441	4.826053748	-0.563847857	-0.563847857	-0.563847857	5.278641986	5.028156245	-0.563847857	-0.563847857	-0.563847857	-0.563847857	5.92715154	2.055536707	-0.563847857	-0.563847857	-0.563847857	5.229996892	-0.563847857	4.809323956	2.640375691	3.056850085	-0.563847857	3.420072888	-0.563847857	4.459434399
F53	AX	5.282761016	5.518898687	2.825495055	2.499179877	3.735735036	4.025515745	5.950646449	4.27200451	1.634584288	4.504822575	3.237896607	-0.842717762	-0.842717762	-0.842717762	2.77798018	2.995756555	3.997165157	3.529028942	-0.842717762	5.071030914	3.790244441	2.361505786	4.555444939	3.071121774	3.616901028	6.099965814	4.433075094	5.902625534	1.634584288	2.870854305	5.579791031	4.839933931	6.449124211	5.246327113	5.191240109	4.180564494	-0.842717762	3.858588709	3.034148986	4.093063361	5.191240109	1.634584288	5.546759954	3.658101499	2.825495055	4.870414803	3.071121774	4.888267107	4.846104885	4.414304013	-0.842717762	1.776666802	2.499179877	-0.842717762	3.573929862	2.675589028	3.206692828	2.675589028	4.106042128	2.201804676	3.106776175	-0.842717762	2.77798018	5.14213406	-0.842717762	-0.842717762	4.967606349	4.118854603	2.284839904	5.704589229	4.700682536	2.995756555	-0.842717762	-0.842717762	2.825495055	2.432710232	1.468917166	-0.842717762	3.716884336	3.071121774	6.042141018	3.616901028	-0.842717762	2.728094525	2.955831093	-0.842717762	-0.842717762	3.790244441	4.404784665	1.022066842	4.118854603	4.106042128	-0.842717762	-0.842717762	3.697671449	2.361505786	2.914245059	2.201804676	-0.842717762	3.206692828
